image1,image2,label,identity
C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/1-04.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/1-05.jpg,0,1-04
C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/1-04.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/1-06.jpg,0,1-04
C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/1-04.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/1-07.jpg,0,1-04
C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/1-04.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/1-11.jpg,0,1-04
C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/1-04.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/1-12.jpg,0,1-04
C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/1-04.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/1-13.jpg,0,1-04
C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/1-05.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/1-06.jpg,0,1-05
C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/1-05.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/1-07.jpg,0,1-05
C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/1-05.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/1-11.jpg,0,1-05
C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/1-05.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/1-12.jpg,0,1-05
C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/1-05.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/1-13.jpg,0,1-05
C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/1-11.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/1-12.jpg,0,1-11
C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/1-11.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/1-13.jpg,0,1-11
C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/1-12.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/1-13.jpg,0,1-12
C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/10-05.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/10-06.jpg,0,10-05
C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/10-05.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/10-07.jpg,0,10-05
C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/10-05.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/10-11.jpg,0,10-05
C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/10-05.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FEI_preprocessed/bonafide/10-12.jpg,0,10-05
