image1,image2,label,identity
C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/002_03.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/002_08.jpg,0,002_03
C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/003_03.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/003_08.jpg,0,003_03
C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/007_03.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/007_08.jpg,0,007_03
C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/008_03.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/008_08.jpg,0,008_03
C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/014_03.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/014_08.jpg,0,014_03
C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/016_03.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/016_08.jpg,0,016_03
C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/019_03.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/019_08.jpg,0,019_03
C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/024_03.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/024_08.jpg,0,024_03
C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/037_03.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/037_08.jpg,0,037_03
C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/039_03.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/039_08.jpg,0,039_03
C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/042_03.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/042_08.jpg,0,042_03
C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/043_03.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/043_08.jpg,0,043_03
C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/044_03.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/044_08.jpg,0,044_03
C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/062_03.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/062_08.jpg,0,062_03
C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/068_03.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/068_08.jpg,0,068_03
C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/081_03.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/081_08.jpg,0,081_03
C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/082_03.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/082_08.jpg,0,082_03
C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/083_03.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/083_08.jpg,0,083_03
C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/090_03.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/090_08.jpg,0,090_03
C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/092_03.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/092_08.jpg,0,092_03
C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/094_03.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/094_08.jpg,0,094_03
C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/099_03.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/099_08.jpg,0,099_03
C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/100_03.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/100_08.jpg,0,100_03
C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/105_03.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/105_08.jpg,0,105_03
C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/112_03.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/112_08.jpg,0,112_03
C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/113_03.jpg,C:/Users/kekyi/Downloads/FYP/D-MAD/FRLL_preprocessed/bonafide/113_08.jpg,0,113_03
